Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,muscle_gp,equipment_details,Equipment,Rating,Description
Bodyweight Reverse Lunge,https://www.bodybuilding.com/exercises/bodyweight-reverse-lunge,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.3,Average
Seated One-Arm Dumbbell Palms-Down Wrist Curl,https://www.bodybuilding.com/exercises/seated-one-arm-dumbbell-palms-down-wrist-curl,,,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.3,Average
Glute Kickback,https://www.bodybuilding.com/exercises/glute-kickback,,,https://www.bodybuilding.com/exercises/muscle/glutes,Glutes,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.3,Average
Treadmill jogging,https://www.bodybuilding.com/exercises/jogging-treadmill,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,8.3,Average
Plate Pinch,https://www.bodybuilding.com/exercises/plate-pinch,,,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/other,Other,8.3,Average
Yates Row Reverse Grip,https://www.bodybuilding.com/exercises/yates-row-reverse-grip,,,https://www.bodybuilding.com/exercises/muscle/middle-back,Middle Back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.3,Average
Linear Acceleration Wall Drill,https://www.bodybuilding.com/exercises/linear-acceleration-wall-drill,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.3,Average
Reverse-grip bench press,https://www.bodybuilding.com/exercises/reverse-triceps-bench-press,,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.3,Average
Leverage Decline Chest Press,https://www.bodybuilding.com/exercises/leverage-decline-chest-press,,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/machine,Machine,8.3,Average
Chain Handle Extension,https://www.bodybuilding.com/exercises/chain-handle-extension,,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/other,Other,8.3,Average
